,REGION,PROVINCE,COMMUNE,ANNEE,Sonagess_01mais-(t-0),Sonagess_02mais-(t-0),Sonagess_03mais-(t-0),Sonagess_04mais-(t-0),Sonagess_05mais-(t-0),Sonagess_06mais-(t-0),Sonagess_07mais-(t-0),Sonagess_08mais-(t-0),Sonagess_09mais-(t-0),Sonagess_10mais-(t-0),Sonagess_11mais-(t-0),Sonagess_12mais-(t-0),RcsiMoyProv
0,BOUCLE DU MOUHOUN,BALE,BAGASSI,2014,104.8407259886872,108.2567344311419,99.38898318163649,104.8307423557338,99.08545437656618,94.79813178197628,96.86247470590875,97.65348068262566,104.7377908724648,92.98874183787092,86.20351932688983,94.9208360113088,8.396954099978847
1,BOUCLE DU MOUHOUN,BALE,BANA,2014,112.4796714547076,111.664599964093,106.3050872822402,113.0984743110322,108.0791777640205,106.2716663566756,107.7248372506266,111.5860619185345,114.6859283563908,100.0333887742893,93.31575553740768,99.96177109353859,8.396954099978847
2,BOUCLE DU MOUHOUN,BALE,BOROMO,2014,106.7889349681398,109.4540991437608,102.2881542013034,106.0505907867365,106.1585584556879,101.2773401629714,102.3398249096143,100.441723571756,106.4432851054288,91.90669510253765,86.52367447009911,94.64966553627055,8.396954099978847
3,BOUCLE DU MOUHOUN,BALE,FARA,2014,99.48775396109386,101.1475446203175,94.46288990511692,98.75589907964934,102.0457881550281,98.26428106307242,98.85029941213728,93.85171142335318,101.7545629698762,86.97446788913649,83.26569307428832,89.51075812624745,8.396954099978847
4,BOUCLE DU MOUHOUN,BALE,OURY,2014,110.594378808919,113.2257619193129,106.9012530658443,110.2343172497046,109.6792448759673,105.0127127840372,105.9981446800612,104.9509701513565,109.3372216375058,94.97288241309562,89.65826027419759,98.58408837013883,8.396954099978847
5,BOUCLE DU MOUHOUN,BALE,PA,2014,102.737877225712,109.0801870662796,99.06849499747163,103.2451624994731,94.4167726526908,89.47442064067853,92.16346346849663,92.41743955806353,97.4861127094865,87.2356820040065,79.14446977429162,90.6444534226557,8.396954099978847
6,BOUCLE DU MOUHOUN,BALE,POMPOI,2014,106.8926494075008,108.9011495150925,101.1373606480307,106.5423793463832,102.5813352543042,98.89206512145876,100.5516801088319,101.609782913907,108.9699380235153,97.17510907008219,90.81298473353277,97.59851292451718,8.396954099978847
7,BOUCLE DU MOUHOUN,BALE,POURA,2014,105.4090748137305,106.4517894418443,100.1095856520921,103.6443312858294,108.4974578688201,103.7300850519515,104.0910183743715,100.473310518427,108.0722888417037,92.21127439181006,87.7139848082513,92.86627905814305,8.396954099978847
8,BOUCLE DU MOUHOUN,BALE,SIBY,2014,110.7080825253222,112.9025896374342,106.90421158826,110.1222236606089,110.748458022526,106.1394519863515,106.9280743372725,105.5300881614014,110.1378300355258,95.44215415922515,90.37235485606595,98.60652188783048,8.396954099978847
9,BOUCLE DU MOUHOUN,BALE,YAHO,2014,110.8248343514584,110.9365979868118,104.8296111009135,111.645521016972,105.6521150851661,103.4010694297059,105.103398391672,108.6156373291169,111.5008331839,96.63585150301857,89.66155256903296,97.62092712703891,8.396954099978847
10,BOUCLE DU MOUHOUN,BANWA,BALAVE,2014,105.912254005884,100.6891551313016,99.91718216743091,106.322803224729,110.3768568600954,108.2772983713156,108.2772983713156,110.9528306977505,109.2615083485507,88.43628652139257,83.07305246616393,88.35875375806553,2.7546745774901114
11,BOUCLE DU MOUHOUN,BANWA,KOUKA,2014,89.20671485512557,88.76798444726253,88.152391871422,93.13980825069822,99.38357702310309,94.98658597821986,94.98658597821986,96.04926175077172,94.9065076830794,74.70048977284586,69.7457630228091,78.11276792437994,2.7546745774901114
12,BOUCLE DU MOUHOUN,BANWA,SAMI,2014,87.80920676119138,87.11694328578061,86.59246246545189,90.88720381028321,97.64142410610933,92.46064627126935,92.46064627126935,93.5595410534709,92.42668808527243,73.78824375495236,68.9520751333585,77.49253090923439,2.7546745774901114
13,BOUCLE DU MOUHOUN,BANWA,SANABA,2014,112.1235645765715,106.6606421153624,105.8157862046414,112.0662826596164,114.7990845430553,113.6987125641034,113.6987125641034,117.7989130440145,118.9874604564657,102.1117205188061,96.87307761120209,99.43403374377587,2.7546745774901114
14,BOUCLE DU MOUHOUN,BANWA,SOLENZO,2014,110.5204334653872,103.9753499247243,103.0331114911774,111.3615009106031,114.6140753932782,114.0870452229129,114.0870452229129,116.2822111272872,112.1780448895386,85.34498610191017,79.51109472898183,85.28687154730474,2.7546745774901114
15,BOUCLE DU MOUHOUN,BANWA,TANSILA,2014,102.842126554491,98.3519023584273,97.67834734980761,103.0663598345625,107.6774921814026,104.6377031318735,104.6377031318735,107.4345624618635,106.7627177900538,88.78483490314147,83.66238575017617,88.94621793723088,2.7546745774901114
16,BOUCLE DU MOUHOUN,KOSSI,BARANI,2014,127.6069465004126,124.3622873318901,122.984872737472,127.8897275369839,127.549411525332,128.6628501958826,127.1531918182101,130.5688246323637,131.3817967906087,120.4990096630218,115.6124483335724,115.3656462427981,5.851941356532946
17,BOUCLE DU MOUHOUN,KOSSI,BOMBOROKUY,2014,125.4769826207934,121.532640998492,120.2343844497501,125.7342837427506,125.830696133235,126.7985586697402,125.6055324747726,129.1640231211377,129.8132425843621,116.8896712783054,111.8575338148106,112.1293364736827,5.851941356532946
18,BOUCLE DU MOUHOUN,KOSSI,BOURASSO,2014,124.8068910002173,120.0832541592254,118.8925060902836,124.6876299231555,124.8642498939113,125.805376570326,125.0423842945584,129.6497889182711,132.1283476564097,119.8526524263435,114.7937791027582,114.2311197044447,5.851941356532946
19,BOUCLE DU MOUHOUN,KOSSI,DJIBASSO,2014,125.5947719573077,121.7674305951981,120.4532284322973,125.9050936137407,125.9853631209856,126.9586066185706,125.7017979669676,129.1117916629844,129.5066703759896,116.515316535782,111.488560033367,111.8713901841093,5.851941356532946
20,BOUCLE DU MOUHOUN,KOSSI,DOKUY,2014,107.5558353536131,102.4341813364707,101.6596708866546,107.7305075402883,111.4091769968639,109.4542006265957,109.4542006265957,112.7283067342643,112.4547840640294,93.96295769911629,88.7138559310545,92.91654194765566,5.851941356532946
21,BOUCLE DU MOUHOUN,KOSSI,DOUMBALA,2014,106.1922274682918,101.4501625956912,100.7248573549717,106.2473890841391,110.1650369617941,107.7531611814255,107.7531611814255,111.1538254843255,111.5481610299612,94.74349246429279,89.62795379528984,93.71108652048679,5.851941356532946
22,BOUCLE DU MOUHOUN,KOSSI,KOMBORI,2014,127.1707407134837,123.8603128957054,122.4876572405305,127.49939814219,127.2564503541995,128.3374329501963,126.8468103294964,130.1525111025558,130.6711891510181,119.19162886403,114.2726114600268,114.2703246478051,5.851941356532946
23,BOUCLE DU MOUHOUN,KOSSI,MADOUBA,2014,105.0233778953376,100.4880456943049,99.79286837783022,105.0567371832318,109.1977689250381,106.4804511040754,106.4804511040754,109.8301734920014,110.325195081111,94.03982903742214,88.98038341876298,93.22149302425179,5.851941356532946
24,BOUCLE DU MOUHOUN,KOSSI,NOUNA,2014,125.0304266127872,120.7813951837025,119.5230751290535,125.1782504546385,125.3500658895215,126.2927940778939,125.2595138592979,129.1316342000206,130.2779713675086,117.2910145338161,112.2337427221884,112.3323895733275,5.851941356532946
25,BOUCLE DU MOUHOUN,KOSSI,SONO,2014,128.032128130977,124.6591188916646,123.3054967125968,128.1433458328212,127.6884393111812,128.8400748183945,127.4255861021235,131.2939196684451,133.0411021736504,123.1839683481724,118.3356038553858,117.507106081143,5.851941356532946
26,BOUCLE DU MOUHOUN,MOUHOUN,BONDOKUY,2014,112.5655615390991,110.3552286508038,105.9897680555459,113.241243952649,110.0054390560748,108.6250950764733,109.7469152748926,113.2588468650299,114.6920331774078,97.06840548044883,90.52942664966181,96.89295533306776,6.824102145522388
27,BOUCLE DU MOUHOUN,MOUHOUN,DEDOUGOU,2014,125.0203936859695,119.2137186371404,118.1853910157853,124.1436409680202,124.1585461629654,125.1535777646504,125.0402672792298,131.7038214527479,138.0776482458643,128.6666764446564,123.6617080463414,120.9896998447284,6.824102145522388
28,BOUCLE DU MOUHOUN,MOUHOUN,DOUROULA,2014,126.4388789806321,121.93510584897,120.7304232318364,126.1307123523619,125.9403667071547,127.0038152555571,126.1850847870225,131.2508187405643,134.91854897872,124.9360111582978,119.9994597067002,118.4752489424151,6.824102145522388
29,BOUCLE DU MOUHOUN,MOUHOUN,KONA,2014,115.8383613608067,113.0690055610117,109.2784593841831,116.0510749466755,113.1029622733964,112.2176051494156,113.1477872083585,117.6973670305259,121.1418137510849,106.7584978197332,100.5707772399596,104.539534222151,6.824102145522388
30,BOUCLE DU MOUHOUN,MOUHOUN,OUARKOYE,2014,114.8307943981157,111.3320849857923,108.0037586271552,115.2311107090145,113.3540276460244,112.586719909533,113.3628286957454,117.3471059098811,119.0496431893376,101.6732687803891,95.48804263355699,100.0506428101967,6.824102145522388
31,BOUCLE DU MOUHOUN,MOUHOUN,SAFANE,2014,119.9957503595789,119.4649632147091,115.5997948107341,120.0895929306049,116.8566691231328,114.8848692684806,115.7560252986873,119.8422529891062,123.7638216837769,112.7212054044025,107.1017496875506,112.484734852262,6.824102145522388
